ID_PODA,FECHA DE ATENCION ,COLONIA ,CALLE,NUMERO ,FOLIO ,ESPECIE,ACLAREO PZA,DESCHUPONEO PZA,ELEVACION DE COPA PZA,LIB  DE CAMARAS PZA,LIB  DE FACHADA PZA,LIB  DE LINEAS ELECTRICAS Y AEREAS PZA,LIB  DE LUMINARIAS PZA,VELA,FACHADA,POSTE,LIB  DE SEMAFOROS PZA,LIB  DE SENALAMIENTOS PZA,LIMPIEZA DE COPA PZA,PODA DE FORMACION RESTAURACION DE COPA PZA,PODA ESTETICA O TOPIARIA PZA,PODA DE MUERDAGO PZA,PODA DE HENO MOTITA PZA,REDUCCIÓN DE COPA PZA,TOTAL,LATITUD ,LONGITUD ,FUENTE DE INFORMACION 
233,25/08/2022,ESCANDON II SECCION,AGRARISMO,ESQUINA,SIN FOLIO,PODA DE 1 ARBOL,,,1,,,,,,,,,,,,,,,,1,19.40299017,-99.17203356,JUD JARDINERIA
234,25/08/2023,TACUBAYA,HEROES DE LA INTERVENCION,28,SIN FOLIO,PODA DE 2 FICUS,,,2,,,,,,,,,,,,,,,,2,19.3965661,-99.18865105,JUD JARDINERIA
235,25/08/2024,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,371,SIN FOLIO,PODA DE 5 FRESNOS Y 1 OCOTE,,,5,,,,,,,,,,1,,,,,,6,19.40734004,-99.24293473,JUD JARDINERIA
236,25/08/2025,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,FTE AL 371,SIN FOLIO,PODA DE 2 LAUREL Y 1 FRESNO,,,3,,,,,,,,,,,,,,,,3,19.40734004,-99.24293473,JUD JARDINERIA
237,25/08/2026,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,379,SIN FOLIO,PODA DE 1 FRESNO,,,1,,,,,,,,,,,,,,,,1,19.40783839,-99.24271329,JUD JARDINERIA
238,25/08/2027,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,386,SIN FOLIO,PODA DE 5 FRESNOS,,,5,,,,,,,,,,,,,,,,5,19.40742569,-99.24252017,JUD JARDINERIA
239,25/08/2028,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,383,SIN FOLIO,PODA DE 1 FRESNO,,,1,,,,,,,,,,,,,,,,1,19.40762553,-99.24227468,JUD JARDINERIA
240,25/08/2029,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,385,SIN FOLIO,PODA DE 3 FRESNOS,,,3,,,,,,,,,,,,,,,,3,19.40767007,-99.24230294,JUD JARDINERIA
241,25/08/1930,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,399,SIN FOLIO,PODA DE 4 FRESNOS,,,4,,,,,,,,,,,,,,,,4,19.40779476,-99.24220216,JUD JARDINERIA
242,25/08/1931,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,403,SIN FOLIO,PODA DE 2 FRESNOS,,,2,,,,,,,,,,,,,,,,2,19.40770559,-99.24223831,JUD JARDINERIA
